,axis:latitude,axis:longitude,axis:time,data:Water_Thickness
0,15.5,-15.500000000000028,2001-01-16T00:00:00,-7.002377033233643
1,15.5,-15.500000000000028,2001-02-16T00:00:00,-7.490360736846924
2,15.5,-15.500000000000028,2001-03-18T00:00:00,-7.970692634582519
3,15.5,-15.500000000000028,2001-04-18T00:00:00,-8.306229591369629
4,15.5,-15.500000000000028,2001-05-18T00:00:00,-8.543487548828125
5,15.5,-15.500000000000028,2001-06-18T00:00:00,-8.656294822692871
6,15.5,-15.500000000000028,2001-07-18T00:00:00,-2.401376962661743
7,15.5,-15.500000000000028,2001-08-18T00:00:00,4.885774612426758
8,15.5,-15.500000000000028,2001-09-17T00:00:00,3.761241912841797
9,15.5,-15.500000000000028,2001-10-18T00:00:00,0.9580983519554138
10,15.5,-15.500000000000028,2001-11-17T00:00:00,-1.0778729915618896
11,15.5,-15.500000000000028,2001-12-17T00:00:00,-2.111461877822876
12,15.5,-15.500000000000028,2002-01-16T00:00:00,4.433712959289551
13,15.5,-15.500000000000028,2002-02-16T00:00:00,4.2871599197387695
14,15.5,-15.500000000000028,2002-03-18T00:00:00,2.125008106231689
15,15.5,-15.500000000000028,2002-04-18T00:00:00,0.7384589910507202
16,15.5,-15.500000000000028,2002-05-18T00:00:00,-0.1157622933387756
17,15.5,-15.500000000000028,2002-06-18T00:00:00,-0.2405655682086944
18,15.5,-15.500000000000028,2002-07-18T00:00:00,-0.3143442571163177
19,15.5,-15.500000000000028,2002-08-18T00:00:00,2.2858238220214844
20,15.5,-15.500000000000028,2002-09-17T00:00:00,5.8925862312316895
21,15.5,-15.500000000000028,2002-10-18T00:00:00,3.1307623386383057
22,15.5,-15.500000000000028,2002-11-17T00:00:00,0.7147090435028076
23,15.5,-15.500000000000028,2002-12-17T00:00:00,-0.5207923650741577
24,15.5,-15.500000000000028,2003-01-16T00:00:00,-1.5535123348236084
25,15.5,-15.500000000000028,2003-02-16T00:00:00,-2.39693021774292
26,15.5,-15.500000000000028,2003-03-18T00:00:00,-3.174549102783203
27,15.5,-15.500000000000028,2003-04-18T00:00:00,-3.796676158905029
28,15.5,-15.500000000000028,2003-05-18T00:00:00,-4.200221538543701
29,15.5,-15.500000000000028,2003-06-18T00:00:00,-4.295630931854248
30,15.5,-15.500000000000028,2003-07-18T00:00:00,-3.786024570465088
31,15.5,-15.500000000000028,2003-08-18T00:00:00,0.7671147584915161
32,15.5,-15.500000000000028,2003-09-17T00:00:00,6.762917995452881
33,15.5,-15.500000000000028,2003-10-18T00:00:00,9.654348373413086
34,15.5,-15.500000000000028,2003-11-17T00:00:00,5.223008155822754
35,15.5,-15.500000000000028,2003-12-17T00:00:00,2.618788242340088
36,15.5,-15.500000000000028,2004-01-16T00:00:00,1.1652581691741943
37,15.5,-15.500000000000028,2004-02-16T00:00:00,-0.0671188533306121
38,15.5,-15.500000000000028,2004-03-17T00:00:00,-1.1944098472595217
39,15.5,-15.500000000000028,2004-04-17T00:00:00,-2.0260205268859863
40,15.5,-15.500000000000028,2004-05-17T00:00:00,-2.5705368518829346
41,15.5,-15.500000000000028,2004-06-17T00:00:00,-2.8165738582611084
42,15.5,-15.500000000000028,2004-07-17T00:00:00,-2.555565595626831
43,15.5,-15.500000000000028,2004-08-17T00:00:00,2.894848346710205
44,15.5,-15.500000000000028,2004-09-16T00:00:00,3.693983554840088
45,15.5,-15.500000000000028,2004-10-17T00:00:00,0.912963092327118
46,15.5,-15.500000000000028,2004-11-16T00:00:00,-0.8170573711395264
47,15.5,-15.500000000000028,2004-12-17T00:00:00,-2.121483564376831
48,15.5,-15.500000000000028,2005-01-16T00:00:00,-3.0184221267700195
49,15.5,-15.500000000000028,2005-02-16T00:00:00,-3.680442571640015
50,15.5,-15.500000000000028,2005-03-18T00:00:00,-4.400327682495117
51,15.5,-15.500000000000028,2005-04-18T00:00:00,-4.998147487640381
52,15.5,-15.500000000000028,2005-05-18T00:00:00,-5.340335845947266
53,15.5,-15.500000000000028,2005-06-18T00:00:00,-4.556995868682861
54,15.5,-15.500000000000028,2005-07-18T00:00:00,-0.2317499965429306
55,15.5,-15.500000000000028,2005-08-18T00:00:00,5.841504096984863
56,15.5,-15.500000000000028,2005-09-17T00:00:00,7.672303199768066
57,15.5,-15.500000000000028,2005-10-18T00:00:00,5.281241893768311
58,15.5,-15.500000000000028,2005-11-17T00:00:00,2.074434518814087
59,15.5,-15.500000000000028,2005-12-17T00:00:00,0.4464872777462005
60,15.5,-15.500000000000028,2006-01-16T00:00:00,-0.3463770449161529
61,15.5,-15.500000000000028,2006-02-16T00:00:00,-1.2080737352371216
62,15.5,-15.500000000000028,2006-03-18T00:00:00,-2.434356451034546
63,15.5,-15.500000000000028,2006-04-18T00:00:00,-3.185168027877808
64,15.5,-15.500000000000028,2006-05-18T00:00:00,-3.642803192138672
65,15.5,-15.500000000000028,2006-06-18T00:00:00,-3.5799548625946045
66,15.5,-15.500000000000028,2006-07-18T00:00:00,-1.7945040464401243
67,15.5,-15.500000000000028,2006-08-18T00:00:00,3.992496013641357
