,axis:latitude,axis:longitude,axis:time,data:Water_Thickness
84,-15.5,15.5,2008-01-16T00:00:00,35.871803283691406
85,-15.5,15.5,2008-02-16T00:00:00,36.281341552734375
86,-15.5,15.5,2008-03-17T00:00:00,35.58888626098633
87,-15.5,15.5,2008-04-17T00:00:00,24.222192764282227
88,-15.5,15.5,2008-05-17T00:00:00,13.64416790008545
89,-15.5,15.5,2008-06-17T00:00:00,6.893680572509766
90,-15.5,15.5,2008-07-17T00:00:00,2.083577871322632
91,-15.5,15.5,2008-08-17T00:00:00,-1.0180615186691284
92,-15.5,15.5,2008-09-16T00:00:00,-3.2537336349487305
93,-15.5,15.5,2008-10-17T00:00:00,-5.154684543609619
94,-15.5,15.5,2008-11-16T00:00:00,-2.096040964126587
95,-15.5,15.5,2008-12-17T00:00:00,7.884626865386963
96,-15.5,15.5,2009-01-16T00:00:00,10.70156955718994
97,-15.5,15.5,2009-02-16T00:00:00,26.609827041625977
98,-15.5,15.5,2009-03-18T00:00:00,29.85452461242676
99,-15.5,15.5,2009-04-18T00:00:00,18.21863555908203
100,-15.5,15.5,2009-05-18T00:00:00,10.317811012268066
101,-15.5,15.5,2009-06-18T00:00:00,3.551131248474121
102,-15.5,15.5,2009-07-18T00:00:00,-0.594700813293457
103,-15.5,15.5,2009-08-18T00:00:00,-3.293569564819336
104,-15.5,15.5,2009-09-17T00:00:00,-4.9213690757751465
105,-15.5,15.5,2009-10-18T00:00:00,-3.3012173175811768
106,-15.5,15.5,2009-11-17T00:00:00,6.75157356262207
107,-15.5,15.5,2009-12-17T00:00:00,19.798194885253903
108,-15.5,15.5,2010-01-16T00:00:00,36.83975982666016
109,-15.5,15.5,2010-02-16T00:00:00,26.53152847290039
110,-15.5,15.5,2010-03-18T00:00:00,34.34980773925781
111,-15.5,15.5,2010-04-18T00:00:00,32.02678680419922
112,-15.5,15.5,2010-05-18T00:00:00,19.777931213378903
113,-15.5,15.5,2010-06-18T00:00:00,11.443495750427246
114,-15.5,15.5,2010-07-18T00:00:00,6.333110809326172
115,-15.5,15.5,2010-08-18T00:00:00,2.824286937713623
116,-15.5,15.5,2010-09-17T00:00:00,0.2074139416217804
117,-15.5,15.5,2010-10-18T00:00:00,-2.0979549884796143
118,-15.5,15.5,2010-11-17T00:00:00,-1.69059419631958
119,-15.5,15.5,2010-12-17T00:00:00,10.844407081604004
120,-15.5,15.5,2011-01-16T00:00:00,29.03164291381836
121,-15.5,15.5,2011-02-16T00:00:00,34.53691482543945
122,-15.5,15.5,2011-03-18T00:00:00,37.78620529174805
123,-15.5,15.5,2011-04-18T00:00:00,30.34549903869629
124,-15.5,15.5,2011-05-18T00:00:00,23.03325462341309
125,-15.5,15.5,2011-06-18T00:00:00,14.244807243347168
126,-15.5,15.5,2011-07-18T00:00:00,8.736442565917969
127,-15.5,15.5,2011-08-18T00:00:00,4.898655891418457
128,-15.5,15.5,2011-09-17T00:00:00,1.9193196296691892
129,-15.5,15.5,2011-10-18T00:00:00,-0.2489016354084015
130,-15.5,15.5,2011-11-17T00:00:00,0.941913902759552
131,-15.5,15.5,2011-12-17T00:00:00,9.952280044555664
132,-15.5,15.5,2012-01-16T00:00:00,12.954811096191406
133,-15.5,15.5,2012-02-16T00:00:00,8.808135032653809
134,-15.5,15.5,2012-03-17T00:00:00,11.725500106811523
135,-15.5,15.5,2012-04-17T00:00:00,8.1257905960083
136,-15.5,15.5,2012-05-17T00:00:00,-0.078717216849327
137,-15.5,15.5,2012-06-17T00:00:00,-4.771983623504639
138,-15.5,15.5,2012-07-17T00:00:00,-7.322938442230225
139,-15.5,15.5,2012-08-17T00:00:00,-8.810114860534668
140,-15.5,15.5,2012-09-16T00:00:00,-9.72065544128418
141,-15.5,15.5,2012-10-17T00:00:00,-10.34249210357666
142,-15.5,15.5,2012-11-16T00:00:00,-7.333225250244141
143,-15.5,15.5,2012-12-17T00:00:00,0.5335696935653687
144,-15.5,15.5,2013-01-16T00:00:00,9.590274810791016
145,-15.5,15.5,2013-02-16T00:00:00,5.186040878295898
146,-15.5,15.5,2013-03-18T00:00:00,0.681139349937439
147,-15.5,15.5,2013-04-18T00:00:00,-2.359602451324463
148,-15.5,15.5,2013-05-18T00:00:00,-7.122926235198975
149,-15.5,15.5,2013-06-18T00:00:00,-9.37523365020752
150,-15.5,15.5,2013-07-18T00:00:00,-10.71975803375244
151,-15.5,15.5,2013-08-18T00:00:00,-11.383193016052246
152,-15.5,15.5,2013-09-17T00:00:00,-11.845155715942385
153,-15.5,15.5,2013-10-18T00:00:00,-12.009020805358888
154,-15.5,15.5,2013-11-17T00:00:00,-8.824803352355957
155,-15.5,15.5,2013-12-17T00:00:00,2.293343305587769
156,-15.5,15.5,2014-01-16T00:00:00,1.841819643974304
157,-15.5,15.5,2014-02-16T00:00:00,0.2575573921203613
158,-15.5,15.5,2014-03-18T00:00:00,10.296459197998049
159,-15.5,15.5,2014-04-18T00:00:00,12.956500053405762
160,-15.5,15.5,2014-05-18T00:00:00,5.007852554321289
161,-15.5,15.5,2014-06-18T00:00:00,-0.7978114485740662
162,-15.5,15.5,2014-07-18T00:00:00,-4.214294910430908
163,-15.5,15.5,2014-08-18T00:00:00,-6.369434356689453
164,-15.5,15.5,2014-09-17T00:00:00,-7.533348560333252
165,-15.5,15.5,2014-10-18T00:00:00,-8.456799507141113
166,-15.5,15.5,2014-11-17T00:00:00,-3.9897868633270255
167,-15.5,15.5,2014-12-17T00:00:00,-3.747970342636109
168,-15.5,15.5,2015-01-16T00:00:00,-6.115250110626221
