,axis:time0_lat_lon:latitude,axis:time0_lat_lon:longitude,axis:time0_lat_lon:time,axis:time0_lat_ocean_lon_ocean:latitude,axis:time0_lat_ocean_lon_ocean:longitude,axis:time0_lat_ocean_lon_ocean:time,axis:time1_lat_lon:latitude,axis:time1_lat_lon:longitude,axis:time1_lat_lon:time,data:air_pressure_at_mean_sea_level,data:air_temperature_at_2_metres,data:air_temperature_at_2_metres_1hour_Maximum,data:air_temperature_at_2_metres_1hour_Minimum,data:dew_point_temperature_at_2_metres,data:eastward_wind_at_100_metres,data:eastward_wind_at_10_metres,data:integral_wrt_time_of_surface_direct_downwelling_shortwave_flux_in_air_1hour_Accumulation,data:lwe_thickness_of_surface_snow_amount,data:northward_wind_at_100_metres,data:northward_wind_at_10_metres,data:precipitation_amount_1hour_Accumulation,data:sea_surface_temperature,data:sea_surface_wave_from_direction,data:sea_surface_wave_mean_period,data:significant_height_of_wind_and_swell_waves,data:snow_density,data:surface_air_pressure
29,15.5,-15.500000000000028,1979-01-02T05:00:00,,,,,,,101208.9375,291.625,,,270.1875,-7.0625,-2.9375,,0.0,-4.625,-2.3125,,,,,,100.0,100728.8125
30,15.5,-15.500000000000028,1979-01-02T06:00:00,,,,,,,101241.0,291.5,,,270.3125,-7.0625,-3.0,,0.0,-4.8125,-2.4375,,,,,,100.0,100759.5625
31,15.5,-15.500000000000028,1979-01-02T07:00:00,,,,,,,101300.5625,291.375,,,270.4375,-6.9375,-3.0,,0.0,-4.875,-2.4375,,,,,,100.0,100818.546875
32,15.5,-15.500000000000028,1979-01-02T08:00:00,,,,,,,101356.0,291.375,,,270.375,-6.875,-3.125,,0.0,-5.0625,-2.6875,,,,,,100.0,100873.546875
33,15.5,-15.500000000000028,1979-01-02T09:00:00,,,,,,,101433.8125,293.3125,,,265.75,-6.625,-3.75,,0.0,-4.8125,-3.0625,,,,,,100.0,100950.25
34,15.5,-15.500000000000028,1979-01-02T10:00:00,,,,,,,101475.3125,301.0625,,,267.8125,-5.875,-4.25,,0.0,-3.8125,-2.875,,,,,,100.0,100992.671875
35,15.5,-15.500000000000028,1979-01-02T11:00:00,,,,,,,101460.875,303.75,,,269.8125,-6.625,-5.0625,,0.0,-3.4375,-2.6875,,,,,,100.0,100980.1328125
36,15.5,-15.500000000000028,1979-01-02T12:00:00,,,,,,,101400.6875,303.875,,,269.625,-6.8125,-5.3125,,0.0,-2.8125,-2.25,,,,,,100.0,100922.0625
37,15.5,-15.500000000000028,1979-01-02T13:00:00,,,,,,,101326.4375,303.9375,,,269.5625,-6.75,-5.3125,,0.0,-2.3125,-1.875,,,,,,100.0,100848.3125
38,15.5,-15.500000000000028,1979-01-02T14:00:00,,,,,,,101226.0625,303.9375,,,269.5,-6.5625,-5.1875,,0.0,-1.875,-1.5625,,,,,,100.0,100749.8828125
39,15.5,-15.500000000000028,1979-01-02T15:00:00,,,,,,,101108.3125,305.5625,,,272.4375,-6.25,-5.0,,0.0,-1.75,-1.4375,,,,,,100.0,100634.1015625
40,15.5,-15.500000000000028,1979-01-02T16:00:00,,,,,,,101070.1875,305.4375,,,272.25,-5.9375,-4.6875,,0.0,-1.875,-1.5,,,,,,100.0,100596.296875
41,15.5,-15.500000000000028,1979-01-02T17:00:00,,,,,,,101042.5625,305.25,,,271.875,-5.8125,-4.4375,,0.0,-2.0625,-1.625,,,,,,100.0,100568.2578125
42,15.5,-15.500000000000028,1979-01-02T18:00:00,,,,,,,101075.625,305.3125,,,267.5,-5.375,-2.8125,,0.0,-2.25,-1.25,,,,,,100.0,100600.890625
43,15.5,-15.500000000000028,1979-01-02T19:00:00,,,,,,,101123.1875,301.5625,,,268.4375,-5.5,-2.25,,0.0,-2.9375,-1.4375,,,,,,100.0,100649.015625
44,15.5,-15.500000000000028,1979-01-02T20:00:00,,,,,,,101190.1875,300.875,,,268.6875,-5.8125,-2.25,,0.0,-3.6875,-1.6875,,,,,,100.0,100715.453125
45,15.5,-15.500000000000028,1979-01-02T21:00:00,,,,,,,101263.4375,295.5625,,,267.875,-6.0,-2.25,,0.0,-4.125,-1.875,,,,,,100.0,100787.421875
